,Region,Country,State,City,Month,Day,Year,AvgTemperature,AvgTemp_Celcius,data,mes_ano
209,South/Central America & Carribean,Brazil,,Brasilia,7,29,1995,69.1,20.611111111111107,1995-07-29,1995-07
210,South/Central America & Carribean,Brazil,,Brasilia,7,30,1995,69.1,20.611111111111107,1995-07-30,1995-07
211,South/Central America & Carribean,Brazil,,Brasilia,7,31,1995,67.9,19.944444444444446,1995-07-31,1995-07
212,South/Central America & Carribean,Brazil,,Brasilia,8,1,1995,67.3,19.61111111111111,1995-08-01,1995-08
213,South/Central America & Carribean,Brazil,,Brasilia,8,2,1995,70.9,21.611111111111114,1995-08-02,1995-08
214,South/Central America & Carribean,Brazil,,Brasilia,8,3,1995,73.0,22.77777777777778,1995-08-03,1995-08
215,South/Central America & Carribean,Brazil,,Brasilia,8,4,1995,75.1,23.944444444444443,1995-08-04,1995-08
216,South/Central America & Carribean,Brazil,,Brasilia,8,5,1995,72.0,22.22222222222222,1995-08-05,1995-08
217,South/Central America & Carribean,Brazil,,Brasilia,8,6,1995,70.9,21.611111111111114,1995-08-06,1995-08
218,South/Central America & Carribean,Brazil,,Brasilia,8,7,1995,68.9,20.500000000000004,1995-08-07,1995-08
219,South/Central America & Carribean,Brazil,,Brasilia,8,8,1995,70.7,21.5,1995-08-08,1995-08
220,South/Central America & Carribean,Brazil,,Brasilia,8,9,1995,70.0,21.11111111111111,1995-08-09,1995-08
221,South/Central America & Carribean,Brazil,,Brasilia,8,10,1995,68.4,20.222222222222225,1995-08-10,1995-08
222,South/Central America & Carribean,Brazil,,Brasilia,8,11,1995,69.4,20.777777777777782,1995-08-11,1995-08
223,South/Central America & Carribean,Brazil,,Brasilia,8,12,1995,69.2,20.666666666666668,1995-08-12,1995-08
224,South/Central America & Carribean,Brazil,,Brasilia,8,13,1995,70.6,21.444444444444443,1995-08-13,1995-08
225,South/Central America & Carribean,Brazil,,Brasilia,8,14,1995,71.2,21.77777777777778,1995-08-14,1995-08
226,South/Central America & Carribean,Brazil,,Brasilia,8,15,1995,71.6,21.999999999999996,1995-08-15,1995-08
227,South/Central America & Carribean,Brazil,,Brasilia,8,16,1995,71.8,22.11111111111111,1995-08-16,1995-08
228,South/Central America & Carribean,Brazil,,Brasilia,8,17,1995,71.0,21.666666666666668,1995-08-17,1995-08
229,South/Central America & Carribean,Brazil,,Brasilia,8,18,1995,70.2,21.22222222222222,1995-08-18,1995-08
230,South/Central America & Carribean,Brazil,,Brasilia,8,19,1995,67.9,19.944444444444446,1995-08-19,1995-08
231,South/Central America & Carribean,Brazil,,Brasilia,8,20,1995,68.6,20.33333333333333,1995-08-20,1995-08
232,South/Central America & Carribean,Brazil,,Brasilia,8,21,1995,69.2,20.666666666666668,1995-08-21,1995-08
233,South/Central America & Carribean,Brazil,,Brasilia,8,22,1995,67.0,19.444444444444443,1995-08-22,1995-08
234,South/Central America & Carribean,Brazil,,Brasilia,8,23,1995,68.6,20.33333333333333,1995-08-23,1995-08
235,South/Central America & Carribean,Brazil,,Brasilia,8,24,1995,67.9,19.944444444444446,1995-08-24,1995-08
236,South/Central America & Carribean,Brazil,,Brasilia,8,25,1995,67.8,19.88888888888889,1995-08-25,1995-08
237,South/Central America & Carribean,Brazil,,Brasilia,8,26,1995,67.0,19.444444444444443,1995-08-26,1995-08
238,South/Central America & Carribean,Brazil,,Brasilia,8,27,1995,69.6,20.888888888888886,1995-08-27,1995-08
239,South/Central America & Carribean,Brazil,,Brasilia,8,28,1995,69.7,20.944444444444443,1995-08-28,1995-08
240,South/Central America & Carribean,Brazil,,Brasilia,8,29,1995,71.5,21.944444444444443,1995-08-29,1995-08
241,South/Central America & Carribean,Brazil,,Brasilia,8,30,1995,71.4,21.888888888888893,1995-08-30,1995-08
242,South/Central America & Carribean,Brazil,,Brasilia,8,31,1995,72.6,22.555555555555554,1995-08-31,1995-08
243,South/Central America & Carribean,Brazil,,Brasilia,9,1,1995,71.1,21.722222222222218,1995-09-01,1995-09
244,South/Central America & Carribean,Brazil,,Brasilia,9,2,1995,71.6,21.999999999999996,1995-09-02,1995-09
